,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross,year
964,tt3387542,The Forest,The Forest,2016,93.0,"Horror,Mystery,Thriller",4.8,36423,The Forest,Focus,26600000.0,11000000,2016
965,tt4982356,The Forest,The Forest,2016,109.0,"Drama,Fantasy,Horror",6.5,222,The Forest,Focus,26600000.0,11000000,2016
966,tt3393786,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,2016,118.0,"Action,Thriller",6.1,121892,Jack Reacher: Never Go Back,Par.,58700000.0,103400000,2016
967,tt3397884,Sicario,Sicario,2015,121.0,"Action,Crime,Drama",7.6,328548,Sicario,LGF,46900000.0,38000000,2015
968,tt3401882,Fist Fight,Fist Fight,2017,91.0,Comedy,5.6,35136,Fist Fight,WB (NL),32200000.0,8900000,2017
969,tt3411444,Ferdinand,Ferdinand,2017,108.0,"Adventure,Animation,Comedy",6.7,40229,Ferdinand,Fox,84400000.0,211700000,2017
970,tt3416532,A Monster Calls,A Monster Calls,2016,108.0,"Animation,Drama,Fantasy",7.5,70416,A Monster Calls,Focus,3700000.0,43600000,2016
971,tt3416828,Ice Age: Collision Course,Ice Age: Collision Course,2016,94.0,"Adventure,Animation,Comedy",5.7,48932,Ice Age: Collision Course,Fox,64099999.0,344500000,2016
972,tt3419894,The Divine Move,Sin-ui hansu,2014,118.0,"Action,Crime",6.7,1701,The Divine Move,CJ,137000.0,27800000,2014
973,tt3450650,Paul Blart: Mall Cop 2,Paul Blart: Mall Cop 2,2015,94.0,"Action,Comedy,Crime",4.4,30828,Paul Blart: Mall Cop 2,Sony,71000000.0,36600000,2015
974,tt3450958,War for the Planet of the Apes,War for the Planet of the Apes,2017,140.0,"Action,Adventure,Drama",7.5,201943,War for the Planet of the Apes,Fox,146900000.0,343800000,2017
975,tt3460252,The Hateful Eight,The Hateful Eight,2015,168.0,"Crime,Drama,Mystery",7.8,434966,The Hateful Eight,Wein.,54100000.0,101600000,2015
976,tt3469046,Despicable Me 3,Despicable Me 3,2017,89.0,"Adventure,Animation,Comedy",6.3,92580,Despicable Me 3,Uni.,264600000.0,770200000,2017
977,tt3470600,Sing,Sing,2016,108.0,"Animation,Comedy,Family",7.1,115951,Sing,Uni.,270400000.0,363800000,2016
978,tt3483612,Hamari Adhuri Kahani,Hamari Adhuri Kahani,2015,129.0,"Drama,Romance",6.7,4643,Hamari Adhuri Kahani,FIP,235000.0,4200000,2015
979,tt3486626,The Nut Job 2: Nutty by Nature,The Nut Job 2: Nutty by Nature,2017,91.0,"Adventure,Animation,Comedy",5.5,4820,The Nut Job 2: Nutty by Nature,ORF,28400000.0,36800000,2017
980,tt3495026,Fan,Fan,2016,138.0,"Action,Drama,Thriller",7.1,39130,Fan,Yash,2300000.0,25900000,2016
981,tt3498820,Captain America: Civil War,Captain America: Civil War,2016,147.0,"Action,Adventure,Sci-Fi",7.8,583507,Captain America: Civil War,BV,408100000.0,745200000,2016
982,tt3501632,Thor: Ragnarok,Thor: Ragnarok,2017,130.0,"Action,Adventure,Comedy",7.9,482995,Thor: Ragnarok,BV,315100000.0,538900000,2017
983,tt3521126,The Disaster Artist,The Disaster Artist,2017,104.0,"Biography,Comedy,Drama",7.4,111737,The Disaster Artist,A24,21100000.0,8700000,2017
984,tt3521164,Moana,Moana,2016,107.0,"Adventure,Animation,Comedy",7.6,224253,Moana,BV,248800000.0,394600000,2016
985,tt3521442,Journey to the West,Xi you,2014,56.0,Drama,6.8,656,Journey to the West,Magn.,18100.0,205600000,2014
986,tt3522806,Mechanic: Resurrection,Mechanic: Resurrection,2016,98.0,"Action,Adventure,Thriller",5.7,67275,Mechanic: Resurrection,LG/S,21200000.0,104500000,2016
